A股	A<s>gu2
掂量	dim1<s>liang4
典當	dim2<s>daang3
碘酊	dim2<s>ding1
店舖	dim3<s>pu3
店鋪	dim3<s>pu3
顛倒	din1<s>daau2
顛茄酊	din1<s>ge4<s>ding1
滇劇	din1<s>gik6
滇軍	din1<s>gwan1
滇紅	din1<s>hoeng4
滇緬	din1<s>min5
滇緬公路	din1<s>min5<s>goeng1<s>lu6
滇池	din1<s>zi4
填咽	din4<s>jyut2
佃作	din4<s>zaak2
電燈泡	din6<s>dang1<s>paau1
電磨	din6<s>mu6
酊劑	ding1<s>zai6
頂呱呱	ding2<s>gwaa1<s>gwaa1
頂禮膜拜	ding2<s>lai5<s>mo4<s>baai3
亭子間	ding4<s>zi2<s>gaan1
蝶竇	dip6<s>dau3
跌倒	dit2<s>daau2
雕梁畫棟	diu1<s>liang4<s>waa6<s>doeng3
雕樑畫棟	diu1<s>liang4<s>waa6<s>doeng3
刁難	diu1<s>naan6
吊膀子	diu3<s>baang2<s>zi2
弔喪	diu3<s>slaang1
調皮	diu4<s>bi4
調停	diu4<s>ding4
調價	diu4<s>gaa3
調解	diu4<s>gaai2
調教	diu4<s>gaau3
調羹	diu4<s>giang1
調侃	diu4<s>haan2
調戲	diu4<s>hi3
調和	diu4<s>ho4
調理	diu4<s>li5
調料	diu4<s>liu6
調味	diu4<s>mi6
調笑	diu4<s>sliu3
調唆	diu4<s>slo1
調劑	diu4<s>zai6
調酒	diu4<s>zau2
調酒師	diu4<s>zau2<s>sai1
調脂弄粉	diu4<s>zi1<s>loeng6<s>fan2
調治	diu4<s>zi6
調整	diu4<s>zing2
調情	diu4<s>zing4
調節	diu4<s>zit2
調嘴學舌	diu4<s>zui2<s>haak6<s>sit6
調兵遣將	diu6<s>bing1<s>hyun2<s>ziang3
調撥	diu6<s>but6
調檔	diu6<s>daang2
調檔案	diu6<s>daang2<s>aan3
調動	diu6<s>doeng6
調號	diu6<s>haau6
調虎離山	diu6<s>hu2<s>li4<s>saan1
調任	diu6<s>njam6
調換	diu6<s>wan6
調查	diu6<s>zaa4
調集	diu6<s>zap6
調子	diu6<s>zi2
調職	diu6<s>zik2
多少	do1<s>siu2
多錢善賈	do1<s>zin4<s>syun6<s>gu2
多種	do1<s>zoeng2
躲藏	do2<s>zaang4
馱東西	do4<s>doeng1<s>slai1
馱起	do4<s>hi2
馱運	do4<s>wan6
馱盧	do6<s>lu4
馱盧鎮	do6<s>lu4<s>zan3
馱子	do6<s>zi2
獨當一面	doek6<s>daang1<s>at2<s>min6
獨闢蹊徑	doek6<s>pik2<s>hai4<s>ging3
毒蛇	doek6<s>se4
獨食獨生瘡打死冇人幫	doek6<s>sik6<s>doek6<s>siang1<s>caang1<s>daa2<s>sli2<s>me5<s>njan4<s>baang1
東莞	doeng1<s>gun2
東莞縣	doeng1<s>gun2<s>jyun6
東莞市	doeng1<s>gun2<s>si5
東阿	doeng1<s>o1
東阿縣	doeng1<s>o1<s>jyun6
同行	doeng4<s>haang4
僮僕	doeng4<s>puk2
動彈	doeng6<s>daan6
動彈不得	doeng6<s>daan6<s>bat2<s>dak2
恫喝	doeng6<s>haat2
恫嚇	doeng6<s>hiak2
洞若觀火	doeng6<s>jiak5<s>gun1<s>hu2
恫恐	doeng6<s>koeng2
動漫畫	doeng6<s>maan6<s>waa6
侗族	doeng6<s>zoek6
都尉	du1<s>wai3
堵塞	du2<s>slak2
塗抹	du4<s>mut5
圖畫	du4<s>waa6
度假	du6<s>kaa3
渡假	du6<s>kaa3
度量	du6<s>liang6
度量衡	du6<s>liang6<s>hang4
蠹蝕	du6<s>sik6
對稱	dui3<s>cing3
對仗	dui3<s>ziang3
頹喪	dui4<s>slaang3
團團轉	dun4<s>dun4<s>zyun3
奪冠	dut6<s>gun3
e化	e<s>waa3
犯而不校	faam6<s>ji4<s>bat2<s>gaau3
番茄	faan1<s>ge4
番稔	faan1<s>nem1
幡幢	faan1<s>zung4
翻轉	faan1<s>zyun2
反敗爲勝	faan2<s>baai6<s>wai4<s>sing3
反倒	faan2<s>daau3
反間	faan2<s>gaan3
反間計	faan2<s>gaan3<s>gi3
反詰	faan2<s>kit2
反省	faan2<s>sling2
樊檻	faan4<s>laam6
繁重	faan4<s>zoeng5
梵唄	faan6<s>baai6
飯圈	faan6<s>hyun1
飯匙	faan6<s>zi4
發姣	faat2<s>haau4
發號	faat2<s>haau6
發行	faat2<s>hiang4
發覺	faat2<s>kiak2
法網難逃	faat2<s>mung5<s>naan4<s>daau4
發難	faat2<s>naan6
發泡	faat2<s>paau5
發泡劑	faat2<s>paau5<s>zai6
髮旋	faat2<s>zyun6
分崩離析	fan1<s>bang1<s>li4<s>slik2
分泌	fan1<s>bi3
分別	fan1<s>bit6
分佈	fan1<s>bu3
分寸	fan1<s>cun3
分擔	fan1<s>daam1
分道揚鑣	fan1<s>daau6<s>jiang4<s>biu1
分店	fan1<s>dim3
分庭抗體	fan1<s>ding4<s>kaang3<s>tai2
分發	fan1<s>faat2
分封	fan1<s>foeng1
分解	fan1<s>gaai2
分校	fan1<s>gaau3
分歧	fan1<s>gi4
分隔	fan1<s>giak2
分功	fan1<s>goeng1
分工	fan1<s>goeng1
分居	fan1<s>gyu1
分開	fan1<s>haai1
分號	fan1<s>haau6
分享	fan1<s>hiang2
分曉	fan1<s>hiu2
分紅	fan1<s>hoeng4
分野	fan1<s>je5
分給	fan1<s>kap2
分離	fan1<s>li4
分裂	fan1<s>lyut5
分娩	fan1<s>min5
分明	fan1<s>ming4
分門別類	fan1<s>mun4<s>bit6<s>lui6
分配	fan1<s>pui3
分身	fan1<s>san1
分手	fan1<s>sau2
分成	fan1<s>sing4
分散	fan1<s>slaan3
分心	fan1<s>slam1
分析	fan1<s>slik2
分數	fan1<s>su3
分水嶺	fan1<s>sui2<s>ling5
分化	fan1<s>waa3
分爲	fan1<s>wai4
分贓	fan1<s>zaang1
文蛤	fan4<s>gaap2
文藝復興	fan4<s>nji6<s>foek2<s>hing1
奮勇當先	fan5<s>joeng5<s>daang1<s>slin1
分量	fan6<s>liang6
分內	fan6<s>nui6
分外	fan6<s>waai6
狒狒	fat2<s>fat2,fat6<s>fat6
㺀𤝽	fat2<s>lat5,kwat2<s>lat5
浮急促數	fau4<s>gap2<s>coek2<s>suk2
浮沈	fau4<s>zam4
飛彈	fi1<s>daan6
非法勾當	fi1<s>faat2<s>ngau1<s>daang3
菲菲	fi1<s>fi1
非難	fi1<s>naan6
菲薄	fi2<s>buk6
菲禮	fi2<s>lai5
菲儀	fi2<s>nji4
菲言厚行	fi2<s>njyun4<s>hau5<s>hiang4
菲酌	fi2<s>ziak2
肥胖	fi4<s>bun5
肥仔	fi4<s>zaai2
肥皂泡	fi4<s>zaau6<s>paau5
覆被	foek2<s>bi5
腹背受敵	foek2<s>bui3<s>sau6<s>dik6
覆水難收	foek2<s>sui2<s>naan4<s>sau1
風調雨順	foeng1<s>diu4<s>jyu5<s>san6
風褸	foeng1<s>lau1
風靡	foeng1<s>mi5
風靡一時	foeng1<s>mi5<s>at2<s>si4
封禪	foeng1<s>syun6
風鑽	foeng1<s>zon3
縫補	foeng4<s>bu2
縫合	foeng4<s>haap6
縫衣服	foeng4<s>ji1<s>foek6
縫衣針	foeng4<s>ji1<s>zam1
縫紉	foeng4<s>njan6
縫線	foeng4<s>slin3
縫針	foeng4<s>zam1
鳳竇	foeng6<s>dau3
縫隙	foeng6<s>kwik2
仆頓	fu3<s>dan3
富強	fu3<s>giang4
富商大賈	fu3<s>siang1<s>daai6<s>gu2
符號	fu4<s>haau6
夫人不言	fu4<s>njan4<s>bat2<s>njyun4
夫天地者	fu4<s>tin1<s>di6<s>ze2
夫戰	fu4<s>zin3
父親	fu6<s>can1
負荷	fu6<s>ho6
腐蝕	fu6<s>sik6
負債累累	fu6<s>zaai3<s>lui5<s>lui5
附着	fu6<s>ziak6
附著	fu6<s>ziak6
方便	fung1<s>bin6
芳菲	fung1<s>fi1
方興未艾	fung1<s>hing1<s>mi6<s>ngaai6
方勝	fung1<s>sing3
彷似	fung2<s>ci3
仿佛	fung2<s>fat6
彷彿	fung2<s>fat6
放假	fung3<s>kaa3
放縱	fung3<s>zoeng3
防不勝防	fung4<s>bat2<s>sing3<s>fung4
防彈衣	fung4<s>daan6<s>ji1
房間	fung4<s>gaan1
房溜	fung4<s>lau6
房舍	fung4<s>se3
茄袋	gaa1<s>daai6
家僮	gaa1<s>doeng4
茄房	gaa1<s>fung4
嘉興	gaa1<s>hing1
嘉興市	gaa1<s>hing1<s>si5
伽倻琴	gaa1<s>je4<s>gam4
伽利略	gaa1<s>li6<s>liak5
家累	gaa1<s>lui6
伽馬	gaa1<s>maa5
伽馬射線	gaa1<s>maa5<s>se6<s>slin3
家長	gaa1<s>ziang2
加重	gaa1<s>zoeng5
假扮	gaa2<s>baan6
賈寶玉	gaa2<s>baau2<s>njoek5
賈平凹	gaa2<s>bing4<s>waa1
假充	gaa2<s>coeng1
假設	gaa2<s>cyut2
假道學	gaa2<s>daau6<s>haak6
假定	gaa2<s>ding6
假公濟私	gaa2<s>goeng1<s>zai3<s>sli1
假貨	gaa2<s>hu3
假若	gaa2<s>jiak5
假如	gaa2<s>jyu4
假冒	gaa2<s>maau6
假面具	gaa2<s>min6<s>gyu6
假名	gaa2<s>ming4
賈誼	gaa2<s>nji4
假山	gaa2<s>saan1
假使	gaa2<s>sai2
假手於人	gaa2<s>sau2<s>jyu1<s>njan4
假釋	gaa2<s>sik2
假想	gaa2<s>sliang2
假想敵	gaa2<s>sliang2<s>dik6
假惺惺	gaa2<s>sling1<s>sling1
假說	gaa2<s>syut2
假托	gaa2<s>taak2
假託	gaa2<s>taak2
假借	gaa2<s>ze3
假象	gaa2<s>ziang6
咖喱	gaa3<s>li1
街坊	gaai1<s>fung1
楷模	gaai1<s>mo1
楷木	gaai1<s>moek5
楷式	gaai1<s>sik2
楷書	gaai1<s>syu1
楷樹	gaai1<s>syu6
楷體	gaai1<s>tai2
楷則	gaai1<s>zak2
解凍	gaai2<s>doeng3
解乏	gaai2<s>faat6
解放	gaai2<s>fung3
解甲歸田	gaai2<s>gaap2<s>gwai1<s>din4
解救	gaai2<s>gau3
解詁	gaai2<s>gu2
解開	gaai2<s>haai1
改行	gaai2<s>haang4
解衣推食	gaai2<s>ji1<s>tui1<s>sik6
解弦更張	gaai2<s>jyun4<s>gang1<s>ziang1
解決	gaai2<s>kyut2
解剖	gaai2<s>pau2
解釋	gaai2<s>sik2
解散	gaai2<s>slaan3
解脫	gaai2<s>tut2
解圍	gaai2<s>wai4
解除	gaai2<s>zyu4
解差	gaai3<s>caai1
解款	gaai3<s>hon2
解元	gaai3<s>jyun4
解送	gaai3<s>sloeng3
咯崩	gaak2<s>bang1
咯當	gaak2<s>daang1
咯噠	gaak2<s>daat6
咯噔	gaak2<s>dang1
咯咯響	gaak2<s>gaak2<s>hiang2
咯咯而笑	gaak2<s>gaak2<s>ji4<s>sliu3
咯咯笑	gaak2<s>gaak2<s>sliu3
各有所好	gaak2<s>jau5<s>slo2<s>haau3
角膜	gaak2<s>moek5
咯吱	gaak2<s>zi1
監察	gaam1<s>caat2
監禁	gaam1<s>gam3
監國	gaam1<s>guk2
監管	gaam1<s>gun2
監護	gaam1<s>hu6
監牢	gaam1<s>laau4
監獄	gaam1<s>njoek5
監守自盜	gaam1<s>sau2<s>zi6<s>daau6
監視	gaam1<s>si6
監製	gaam1<s>zi3
敢當	gaam2<s>daang1
敢教日月換新天	gaam2<s>gaau1<s>njat5<s>njyut5<s>wan6<s>slan1<s>tin1
感荷	gaam2<s>ho6
感荷不盡	gaam2<s>ho6<s>bat2<s>zan6
感應	gaam2<s>ing3
感覺	gaam2<s>kiak2
敢作敢爲	gaam2<s>zaak2<s>gaam2<s>wai4
間不容髮	gaan1<s>bat2<s>joeng4<s>faat2
乾杯	gaan1<s>bui1
乾燥	gaan1<s>caau3
乾脆	gaan1<s>cui3
乾果	gaan1<s>go2
乾枯	gaan1<s>hu1
乾涸	gaan1<s>kaak2
乾撈	gaan1<s>laau1
艱難	gaan1<s>naan4
乾爽	gaan1<s>saang2
乾溼	gaan1<s>sap2
乾濕	gaan1<s>sap2
艱澀	gaan1<s>sap2
乾笑	gaan1<s>sliu3
干將莫邪	gaan1<s>ziang3<s>moek5<s>je4
乾淨	gaan1<s>zing6
簡便	gaan2<s>bin6
簡稱	gaan2<s>cing1
杆秤	gaan2<s>cing3
杆稱	gaan2<s>cing3
簡易	gaan2<s>ji6
間道	gaan3<s>daau6
間諜	gaan3<s>dip6
間斷	gaan3<s>dun5
間格	gaan3<s>giak2
間隔	gaan3<s>giak2
間距	gaan3<s>gyu5
間或	gaan3<s>huk6
間歇	gaan3<s>hyut2
間隙	gaan3<s>kwik2
間苗	gaan3<s>miu4
間替	gaan3<s>tai3
幹仗	gaan3<s>ziang3
幹將	gaan3<s>ziang3
間接	gaan3<s>zip2
剛強	gaang1<s>giang4
綱要	gaang1<s>jiu3
江山如畫	gaang1<s>saan1<s>jyu4<s>waa6
剛正不阿	gaang1<s>zing3<s>bat2<s>o1
降低	gaang3<s>dai1
降幅	gaang3<s>foek2
降價	gaang3<s>gaa3
降旗	gaang3<s>gi4
降格	gaang3<s>giak2
降雨	gaang3<s>jyu5
降級	gaang3<s>kap2
降落	gaang3<s>laak5
降臨	gaang3<s>lam4
降人才	gaang3<s>njan4<s>zaai4
降生	gaang3<s>siang1
降水	gaang3<s>sui2
降溫	gaang3<s>wan1
降旨	gaang3<s>zi2
降職	gaang3<s>zik2
敆檔	gaap2<s>daang3
敆份	gaap2<s>fan6
蛤蚧	gaap2<s>gaai3
佮計	gaap2<s>gi3
敆計	gaap2<s>gi3
佮口	gaap2<s>hau2
敆口	gaap2<s>hau2
佮伙	gaap2<s>hu2
敆伙	gaap2<s>hu2
蛤蠣	gaap2<s>lai6
蛤蜊	gaap2<s>li4
敆手	gaap2<s>sau2
交錯	gaau1<s>co3
高處不勝寒	gaau1<s>cyu3<s>bat2<s>sing3<s>haan4
高檔	gaau1<s>daang3
高蹻	gaau1<s>giak2
高趫	gaau1<s>giu4
交口稱譽	gaau1<s>hau2<s>cing1<s>jyu6
交響樂	gaau1<s>hiang2<s>laak5
交易	gaau1<s>hik2
高興	gaau1<s>hing3
高要	gaau1<s>jiu3
高要縣	gaau1<s>jiu3<s>jyun6
高要市	gaau1<s>jiu3<s>si5
睪丸	gaau1<s>jyun4
高蹺	gaau1<s>kiu2
高麗參	gaau1<s>lai6<s>sam1
姣妻	gaau2<s>cai1
縞冠素紕	gaau2<s>gun1<s>slu3<s>bi4
姣好	gaau2<s>haau2
姣豔	gaau2<s>jim6
姣麗	gaau2<s>lai6
姣美	gaau2<s>mai5
校草	gaau3<s>caau2
校車	gaau3<s>ce1
校訂	gaau3<s>ding3
校對	gaau3<s>dui3
校服	gaau3<s>foek6
校風	gaau3<s>foeng1
校改	gaau3<s>gaai2
校刊	gaau3<s>haan2
校友	gaau3<s>jau5
校園	gaau3<s>jyun4
校閱	gaau3<s>jyut5
校勘	gaau3<s>kaam1
校規	gaau3<s>kwai1
教務處	gaau3<s>mu6<s>cyu3
校驗	gaau3<s>nim6
校實	gaau3<s>sat6
校舍	gaau3<s>se3
教書	gaau3<s>syu1
校書	gaau3<s>syu1
校花	gaau3<s>waa1
校尉	gaau3<s>wai3
校準	gaau3<s>zan2
校讎	gaau3<s>zau4
校長	gaau3<s>ziang2
校場	gaau3<s>ziang4
校正	gaau3<s>zing3
鷄竇	gai1<s>dau3
雞冠	gai1<s>gun1
雞舍	gai1<s>se3
金屋藏嬌	gam1<s>oek2<s>zaang4<s>giu1
今朝	gam1<s>ziu1
禁不起	gam3<s>bat2<s>hi2
禁不住	gam3<s>bat2<s>zyu6
禁得起	gam3<s>dak2<s>hi2
禁得住	gam3<s>dak2<s>zyu6
根氐	gan1<s>dai2
斤兩	gan1<s>liang5
僅供參考	gan2<s>goeng1<s>caam1<s>kaau2
更迭	gang1<s>dit6
更動	gang1<s>doeng6
更改	gang1<s>gaai2
更衣	gang1<s>ji1
更新	gang1<s>slan1
更替	gang1<s>tai3
更換	gang1<s>wan6
更張	gang1<s>ziang1
更正	gang1<s>zing3
哽咽	gang2<s>jyut2
更且	gang3<s>ce2
更加	gang3<s>gaa1
更好	gang3<s>haau2
更甚	gang3<s>sam6
更上一層樓	gang3<s>sang5<s>at2<s>zang4<s>lau4
更是	gang3<s>si6
急溜	gap2<s>lau6
紇繨	gat2<s>daat6
紇絡	gat2<s>laak2
詰屈	gat2<s>wat2
詰屈聱牙	gat2<s>wat2<s>ngaau4<s>njaa4
疙瘩	gat6<s>daap2
圪𡑍	gat6<s>laau4
龜茲	gau1<s>zi4
九馱	gau2<s>do6
九分之	gau2<s>fan6<s>zi1
狗圈	gau2<s>gyun6
九下	gau2<s>jaa5
九米	gau2<s>mai5
夠嗆	gau3<s>ciang3
救苦救難	gau3<s>hu2<s>gau3<s>naan6
嚿溜	gau6<s>lau6
伽藍	ge4<s>laam4
伽南香	ge4<s>naam4<s>hiang1
茄子	ge4<s>zi2
挾菜	gep2<s>caai3
基吧	gi1<s>baa1
幾不可辨	gi1<s>bat2<s>ko2<s>bin6
犄角	gi1<s>gaak2
犄角旮旯	gi1<s>gaak2<s>kaa3<s>laa3<s>　
犄角之勢	gi1<s>gaak2<s>zi1<s>si3
幾近	gi1<s>gan5
幾乎	gi1<s>hu4
期頤	gi1<s>ji4
機率	gi1<s>lat5
幾微	gi1<s>mi4
奇偶	gi1<s>ngau5
期年	gi1<s>nin4
期月	gi1<s>njyut5
奇數	gi1<s>su3
幾間	gi2<s>gaan1
幾斤重	gi2<s>gan1<s>zoeng5
幾成	gi2<s>sing4
幾聽	gi2<s>ting3
幾種	gi2<s>zoeng2
幾重	gi2<s>zoeng5
計較	gi3<s>gaau3
記號	gi3<s>haau6
計謀	gi3<s>mau4
計算	gi3<s>slun3
計數	gi3<s>su3
計畫	gi3<s>waa6
計劃	gi3<s>waak6
計仔	gi3<s>zaai2
記載	gi3<s>zaai3
記識	gi3<s>zi3
騎縫	gi4<s>foeng6
騎縫印	gi4<s>foeng6<s>an3
騎縫蓋章	gi4<s>foeng6<s>gaai3<s>ziang1
騎縫章	gi4<s>foeng6<s>ziang1
期間	gi4<s>gaan1
旗鼓相當	gi4<s>gu2<s>sliang1<s>daang1
奇觀	gi4<s>gun1
騎虎難下	gi4<s>hu2<s>naan4<s>jaa6
祇悔	gi4<s>hui2
騎樓	gi4<s>lau4
騎馬	gi4<s>maa5
騎摩托	gi4<s>mo1<s>taak2
騎士	gi4<s>sai6
騎術	gi4<s>slat6
騎牆	gi4<s>ziang4
騎牆派	gi4<s>ziang4<s>paai3
旗幢	gi4<s>zung4
胳臂	giak2<s>bi3
格調	giak2<s>diu6
胳肢	giak2<s>zi1
胳肢窩	giak2<s>zi1<s>o1
更鼓	giang1<s>gu2
更漏	giang1<s>lau6
羹匙	giang1<s>zi4
耕種	giang1<s>zoeng3
強暴	giang4<s>baau6
強本節用	giang4<s>bun2<s>zit2<s>joeng6
強大	giang4<s>daai6
強盜	giang4<s>daau6
強調	giang4<s>diu6
強度	giang4<s>du6
強渡	giang4<s>du6
強姦	giang4<s>gaan1
強健	giang4<s>gin6
強勁	giang4<s>ging3
強攻	giang4<s>goeng1
強固	giang4<s>gu3
強權	giang4<s>gyun4
強悍	giang4<s>haan6
強項	giang4<s>haang6
強行	giang4<s>hiang4
強梁	giang4<s>liang4
強龍不壓地頭蛇	giang4<s>loeng4<s>bat2<s>aat2<s>di6<s>dau4<s>se4
強烈	giang4<s>lyut5
強硬	giang4<s>ngiang6
強人	giang4<s>njan4
強弩之末	giang4<s>nu5<s>zi1<s>mut5
強勢	giang4<s>si3
強盛	giang4<s>sing6
強心針	giang4<s>slam1<s>zam1
強化	giang4<s>waa3
強壯	giang4<s>zaang3
強者	giang4<s>ze2
強直	giang4<s>zik6
強佔	giang4<s>zim3
勥嘴	giang6<s>zui2
亟待	gik2<s>daai6
亟亟	gik2<s>gik2
激將法	gik2<s>ziang3<s>faat2
極爲重要	gik6<s>wai4<s>zoeng5<s>jiu3
劇種	gik6<s>zoeng2
兼差	gim1<s>caai1
見縫插針	gin3<s>foeng6<s>caap2<s>zam1
經幢	ging1<s>zung4
經傳	ging1<s>zyun6
警覺	ging2<s>kiak2
敬稱	ging3<s>cing1
敬業樂羣	ging3<s>nip5<s>ngaau6<s>gwan4
翹班	giu4<s>baan1
翹辮子	giu4<s>ben5<s>zi2
翹楚	giu4<s>cu2
翹翹板	giu4<s>giu4<s>baan2
翹課	giu4<s>ko3
翹望	giu4<s>mung6
翹首	giu4<s>sau2
翹首以待	giu4<s>sau2<s>ji5<s>daai6
翹首企望	giu4<s>sau2<s>ki2<s>mung6
翹舌	giu4<s>sit6
翹舌音	giu4<s>sit6<s>jam1
翹足	giu4<s>zoek2
果脯	go2<s>pu2
果實累累	go2<s>sat6<s>lui4<s>lui4
果核	go2<s>wat6
果子酪	go2<s>zi2<s>lu6
果子露	go2<s>zi2<s>lu6
鵠的	goek2<s>dik2
穀種	goek2<s>zoeng2
局長	goek6<s>ziang2
供不起	goeng1<s>bat2<s>hi2
供不應求	goeng1<s>bat2<s>ing3<s>gau4
供出	goeng1<s>cat2
工尺	goeng1<s>ce2
供稱	goeng1<s>cing1
供大於求	goeng1<s>daai6<s>jyu1<s>gau4
供電	goeng1<s>din6
供房	goeng1<s>fung4
供求	goeng1<s>gau4
供款	goeng1<s>hon2
供應	goeng1<s>ing3
供油	goeng1<s>jau4
供養	goeng1<s>jiang5
供給	goeng1<s>kap2
功率	goeng1<s>lat5
供樓	goeng1<s>lau4
公姥	goeng1<s>mu5
供人	goeng1<s>njan4
供認	goeng1<s>njan6
供暖	goeng1<s>nun5
供屋	goeng1<s>oek2
公使	goeng1<s>sai2
宮商角徵羽	goeng1<s>siang1<s>gaak2<s>zi2<s>jyu5
供銷	goeng1<s>sliu1
供水	goeng1<s>sui2
供狀	goeng1<s>zaang6
供詞	goeng1<s>zi4
供檯	goeng3<s>daai4
供佛	goeng3<s>fat6
供奉	goeng3<s>foeng6
供品	goeng3<s>pan2
供事	goeng3<s>sai6
供神	goeng3<s>san4
供職	goeng3<s>zik2
供祖宗	goeng3<s>zu2<s>zoeng1
供桌	goeng3<s>zuk2
窮兇極惡	goeng4<s>hoeng1<s>gik6<s>aak2
共處	goeng6<s>cyu2
呱呱大哭	gu1<s>gu1<s>daai6<s>hoek2
呱呱墜地	gu1<s>gu1<s>zui6<s>di6
姑姥姥	gu1<s>laau5<s>laau5
估計	gu2<s>gi3
賈其餘勇	gu2<s>gi4<s>jyu4<s>joeng5
賈害	gu2<s>haai6
賈客	gu2<s>hiak2
賈儈	gu2<s>kwai3
估量	gu2<s>liang4
賈馬	gu2<s>maa5
賈人	gu2<s>njan4
賈禍	gu2<s>o6
古玩	gu2<s>waan6
過磅	gu3<s>baang6
過錯	gu3<s>co3
故地重遊	gu3<s>di6<s>zoeng4<s>jau4
過分	gu3<s>fan6
過關斬將	gu3<s>gwaan1<s>zaam2<s>ziang3
過量	gu3<s>liang6
瑰寶	gui1<s>baau2
傀奇	gui1<s>gi4
傀異	gui1<s>ji6
傀然	gui1<s>jyun4
傀然獨立	gui1<s>jyun4<s>doek6<s>lap5
傀偉	gui1<s>wai2
國號	guk2<s>haau6<s>
國畫	guk2<s>waa6
國子監	guk2<s>zi2<s>gaam3
觀察	gun1<s>caat2
莞草	gun1<s>caau2
觀測	gun1<s>cak2
觀點	gun1<s>dem2
觀風	gun1<s>foeng1
冠蓋	gun1<s>gaai3
觀感	gun1<s>gaam2
觀過知仁	gun1<s>gu3<s>zi1<s>njan4
觀光	gun1<s>gung1
觀看	gun1<s>haan3
觀音	gun1<s>jam1
冠縣	gun1<s>jyun6
觀禮	gun1<s>lai5
冠脈	gun1<s>miak5
冠冕	gun1<s>min5
觀摩	gun1<s>mo1
觀望	gun1<s>mung6
觀念	gun1<s>nim6
觀賞	gun1<s>siang2
冠心病	gun1<s>slam1<s>bing6
觀往知來	gun1<s>ung5<s>zi1<s>laai4
冠狀	gun1<s>zaang6
冠狀病毒	gun1<s>zaang6<s>bing6<s>doek6
冠軍	gun3<s>gwan1
冠以	gun3<s>ji5
冠禮	gun3<s>lai5
冠名	gun3<s>ming4
冠山戴粒	gun3<s>saan1<s>daai3<s>nap3
冠上	gun3<s>sang6
冠詞	gun3<s>zi4
冠絕	gun3<s>zyut6
光圈	gung1<s>hyun1
光溜	gung1<s>liu1
廣東省	gung2<s>doeng1<s>siang2
廣爲流傳	gung2<s>wai4<s>lau4<s>zyun4
瓜分	gwaa1<s>fan1
呱呱叫	gwaa1<s>gwaa1<s>giu3
寡廉鮮恥	gwaa2<s>lim4<s>slyun2<s>ci2
乖剌	gwaai1<s>laat5
怪圈	gwaai3<s>hyun1
綸巾	gwaan1<s>gan1
狂風怒號	gwaang4<s>foeng1<s>nu6<s>haau4
歸檔	gwai1<s>daang2
歸宿	gwai1<s>sloek2
鬼哭狼號	gwai2<s>hoek2<s>laang4<s>haau4
鬼影幢幢	gwai2<s>ing2<s>zung4<s>zung4
鬼使神差	gwai2<s>sai2<s>san4<s>caai1
鬼魂啊失	gwai2<s>wan4<s>aa1<s>sat2
貴重	gwai3<s>zoeng5
軍號	gwan1<s>haau6
龜裂	gwan1<s>lyut5
君子好逑	gwan1<s>zi2<s>haau3<s>gau4
車馬炮	gyu1<s>maa5<s>paau3
車馬砲	gyu1<s>maa5<s>paau3
舉重	gyu2<s>zoeng5
舉重若輕	gyu2<s>zoeng5<s>jiak5<s>hing1
句讀	gyu3<s>dau6
句號	gyu3<s>haau6
倨傲鮮腆	gyu3<s>ngaau6<s>slyun2<s>dim2
肩膀	gyun1<s>baang2
肩負重荷	gyun1<s>fu6<s>zoeng5<s>ho6
堅強	gyun1<s>giang4
乾道	gyun4<s>daau6
乾斷	gyun4<s>dun5
乾顧	gyun4<s>gu3
乾曜	gyun4<s>jiu6
乾元	gyun4<s>jyun4
乾坤	gyun4<s>kwan1
乾隆	gyun4<s>loeng4
乾造	gyun4<s>zaau6
乾宅	gyun4<s>ziak6
圈肥	gyun6<s>fi4
圈養	gyun6<s>jiang5
圈檻	gyun6<s>laam6
圈牢	gyun6<s>laau4
哈喇	haa1<s>laat5
蛤蟆	haa4<s>maa4
蝦蟆	haa4<s>maa4
開埠	haai1<s>fau6
開着	haai1<s>ziak6
開著	haai1<s>ziak6
海鮮	haai2<s>slyun1
海水不可用斗量	haai2<s>sui2<s>bat2<s>ko2<s>joeng6<s>dau2<s>liang4
解縣	haai6<s>jyun6
解數	haai6<s>su3
解州	haai6<s>zau1
學校	haak6<s>gaau3
學識	haak6<s>sik2
學長	haak6<s>ziang2
看押	haan1<s>aap2
看青	haan1<s>cing1
看家	haan1<s>gaa1
看雞	haan1<s>gai1
看更	haan1<s>giang1
看管	haan1<s>gun2
看護	haan1<s>hu6
看羊	haan1<s>jiang4
看養	haan1<s>jiang5
看陵	haan1<s>ling4
看馬	haan1<s>maa5
看門	haan1<s>mun4
看牛	haan1<s>njau4
看坡	haan1<s>po1
看守	haan1<s>sau2
看錢奴	haan1<s>zin4<s>nu4
看相	haan3<s>sliang3
漢藏語系	haan3<s>zaang6<s>jyu5<s>hi3
看着	haan3<s>ziak6
看著	haan3<s>ziak6
漢朝	haan3<s>ziu4
汗國	haan4<s>guk2
寒假	haan4<s>kaa3
寒舍	haan4<s>se3
寒暑間替	haan4<s>syu2<s>gaan3<s>tai3
旱潦	haan5<s>laau5
行輩	haang4<s>bui3
行當	haang4<s>daang1
行頭	haang4<s>dau4
降伏	haang4<s>foek6
降服	haang4<s>foek6
行家	haang4<s>gaa1
