A股	A<s>gu2
粉絲	fan2<s>si1
粉攤	fan2<s>taan1
粉仔	fan2<s>zai2
粉崽	fan2<s>zai2
粉蒸肉	fan2<s>zing1<s>juk6
糞坑	fan3<s>haang1
墳地	fan4<s>di6
墳山	fan4<s>saan1
奮勇當先	fan5<s>jung5<s>dong1<s>slin1
分量	fan6<s>loeng6
忿冇過	fan6<s>mu5<s>go3
分外	fan6<s>ngoi6
分內	fan6<s>nui6
揈腳	fang3<s>goek3
揈下揈下	fang3<s>haa5<s>fang3<s>haa5
揈來揈去	fang3<s>lai4<s>fang3<s>hyu3
揈手	fang3<s>sau2
揈頭	fang3<s>tau4
狒狒	fat1<s>fat1,fat6<s>fat6
㺀𤝽	fat1<s>lat6,fat1<s>lyut6
佛手瓜	fat6<s>sau2<s>gwaa1
佛堂	fat6<s>tong4
佛肚竹	fat6<s>tu5<s>zuk1
浮標	fau4<s>biu1
浮沈	fau4<s>cam4
浮急促數	fau4<s>gap1<s>cuk1<s>sok3
浮筒	fau4<s>tung4
唿唿	fet1<s>fet1
飛彈	fi1<s>daan6
飛髮	fi1<s>faat3
飛髮凳	fi1<s>faat3<s>dang3
飛髮佬	fi1<s>faat3<s>lu2
非法勾當	fi1<s>faat3<s>ngau1<s>dong3
飛髮鋪	fi1<s>faat3<s>pu3
菲菲	fi1<s>fi1
飛飛雨	fi1<s>fi1<s>jyu5
飛行棋	fi1<s>hang4<s>ki4
飛陸軍裝	fi1<s>luk6<s>gwan1<s>zong1
非難	fi1<s>naan6
飛蛾	fi1<s>ngo4
飛鼠	fi1<s>syu2
飛頭髮	fi1<s>tau4<s>faat3
非洲鯽	fi1<s>zau1<s>zak1
飛剪	fi1<s>zin2
飛象	fi1<s>zoeng6
菲薄	fi2<s>bok6
菲儀	fi2<s>ji4
菲言厚行	fi2<s>jin4<s>hau5<s>hang4
菲禮	fi2<s>lai5
菲酌	fi2<s>zoek3
肥腯腯	fi4<s>dyut1<s>dyut1
啡啡吙吙	fi4<s>fi4<s>fo6<s>fo6
啡啡䬍䬍	fi4<s>fi4<s>fot6<s>fot6
肥料	fi4<s>liu2
肥佬	fi4<s>lu2
肥碌碌	fi4<s>luk1<s>luk1
肥臑臑	fi4<s>no1<s>no1
肥肭肭	fi4<s>not1<s>not1
肥胖	fi4<s>pun5
肥屯屯	fi4<s>tan4<s>tan4
肥豚豚	fi4<s>tan4<s>tan4
肥仔	fi4<s>zai2
肥皂泡	fi4<s>zu6<s>pu5
捹頭	fing3<s>tau4
火柴	fo2<s>caai4
火車	fo2<s>ce1
火車站	fo2<s>ce1<s>zaam6
火機	fo2<s>gai1
夥計	fo2<s>gi3
夥記	fo2<s>gi3
火滾	fo2<s>gwan2
火起	fo2<s>hi2
火熠	fo2<s>jaap3
火油	fo2<s>jau4
火油燈	fo2<s>jau4<s>dang1
火煙肉	fo2<s>jin1<s>juk6
火茸	fo2<s>jung4
火鉗	fo2<s>kem4
火炕	fo2<s>kong3
火鐮	fo2<s>lim4
火籠	fo2<s>lung4
伙貓	fo2<s>meu1
火盆	fo2<s>pun4
火石	fo2<s>sek6
伙食	fo2<s>sik6
火船	fo2<s>syun4
伙頭軍	fo2<s>tau4<s>gwan1
火腿	fo2<s>tui2
火筒	fo2<s>tung4
火燭	fo2<s>zuk1
火燭車	fo2<s>zuk1<s>ce1
火種	fo2<s>zung2
貨車	fo3<s>ce1
貨郎擔	fo3<s>long4<s>daam3
吙吙聲	fo4<s>fo4<s>seng1
方便	fong1<s>bin6
荒地	fong1<s>di6
芳菲	fong1<s>fi1
方格簿	fong1<s>gaak3<s>bu6
方興未艾	fong1<s>hing1<s>mi6<s>ngaai6
方喀嘞	fong1<s>kaak3<s>laak3
方領	fong1<s>leng5
方勝	fong1<s>sing3
紡車	fong2<s>ce1
仿佛	fong2<s>fat1
彷彿	fong2<s>fat1
放大鏡	fong3<s>daai6<s>geng3
放糞	fong3<s>fan3
放肥	fong3<s>fi4
放腳	fong3<s>goek3
放歸一	fong3<s>gwai1<s>jat1
放學	fong3<s>hok6
放寒假	fong3<s>hon4<s>kaa3
放煙花	fong3<s>jin1<s>faa1
放假	fong3<s>kaa3
放崖鷹	fong3<s>ngaa4<s>jing1
放牙鷹	fong3<s>ngaa4<s>jing1
放炮	fong3<s>peu3
放手	fong3<s>sau2
放心	fong3<s>slam1
放暑假	fong3<s>syu2<s>kaa3
放縱	fong3<s>zung6
防不勝防	fong4<s>bat1<s>sing3<s>fong4
防彈衣	fong4<s>daan6<s>ji1
房間	fong4<s>gen1,fong4<s>gaan1
房溜	fong4<s>lau6
房舍	fong4<s>se3
䬍䬍聲	fot6<s>fot6<s>seng1
夫妻	fu1<s>cai1
呼號	fu1<s>hu4
虎賁	fu2<s>ban1
府綢	fu2<s>cau4
苦瓜	fu2<s>gwaa1
苦楝木	fu2<s>lin6<s>muk6
苦麥菜	fu2<s>mak6<s>coi3
苦難	fu2<s>naan6
虎牙	fu2<s>ngaa4
斧頭	fu2<s>tau4
苦頭	fu2<s>tau4
戽斗	fu3<s>dau2
褲袋	fu3<s>doi6
褲腳	fu3<s>goek3
富強	fu3<s>koeng4
富強麪	fu3<s>koeng4<s>min6
褲襠	fu3<s>nong1
褲襠底	fu3<s>nong1<s>dai2
富商大賈	fu3<s>soeng1<s>daai6<s>gu2
戽水	fu3<s>sui2
褲頭	fu3<s>tau4
褲頭帶	fu3<s>tau4<s>daai3
符法	fu4<s>fet1
符號	fu4<s>hu6
夫人不言	fu4<s>jan4<s>bat1<s>jin4
芙蓉蛋	fu4<s>jung4<s>daan6
芙蓉花	fu4<s>jung4<s>faa1
扶手	fu4<s>sau2
夫天地者	fu4<s>tin1<s>di6<s>ze2
夫戰	fu4<s>zin3
扶住	fu4<s>zyu6
父親	fu6<s>can1
仆頓	fu6<s>dan6
負荷	fu6<s>ho6
腐乳	fu6<s>jyu5
腐蝕	fu6<s>sik6
負債累累	fu6<s>zaai3<s>lui5<s>lui5
附着	fu6<s>zoek6
附著	fu6<s>zoek6
腐竹	fu6<s>zuk1
灰白	fui1<s>baak6
灰塵	fui1<s>can4
灰鏟	fui1<s>cen2
灰匙	fui1<s>ci4
灰兜	fui1<s>dau1
灰麪	fui1<s>min6
灰批	fui1<s>pai1
灰水	fui1<s>sui2
灰水糉	fui1<s>sui2<s>zung3
灰托	fui1<s>tok3
灰桶	fui1<s>tung2
晦澀	fui3<s>sap1
腹背受敵	fuk1<s>bui3<s>sau6<s>dik6
覆被	fuk1<s>pi5
福壽餅	fuk1<s>sau6<s>beng2
覆水難收	fuk1<s>sui2<s>naan4<s>sau1
蝠鼠	fuk1<s>syu2
複習	fuk1<s>zap6
歡喜	fun1<s>hi2
歡樂	fun1<s>lok6
款識	fun2<s>zi3
封包	fung1<s>beu1
風𦢊	fung1<s>buk6
風車	fung1<s>ce1
風吹啡啡	fung1<s>cui1<s>fe4<s>fe4
風吹吙吙	fung1<s>cui1<s>fo4<s>fo4
風大	fung1<s>daai6
蜂竇	fung1<s>dau3
風帆	fung1<s>faan4
風啡啡吹	fung1<s>fe1<s>fe1<s>cui1
風唿	fung1<s>fet1
風穀	fung1<s>guk1
風櫃	fung1<s>gwai6
蜂蠟	fung1<s>laap6
風褸	fung1<s>lau1
風流	fung1<s>lau4
風靡	fung1<s>mi5
風靡一時	fung1<s>mi5<s>jat1<s>si4
封山	fung1<s>saan1
封禪	fung1<s>sin6
風箱	fung1<s>sloeng1
風水先生	fung1<s>sui2<s>slin1<s>saang1
楓樹	fung1<s>syu6
風停啊	fung1<s>ting4<s>aa3
風停哂	fung1<s>ting4<s>slaai3
蜂窩煤	fung1<s>wo1<s>mui4
風鑽	fung1<s>zyun3
縫補	fung4<s>bu2
縫合	fung4<s>hap6
縫紉	fung4<s>jan6
縫衣服	fung4<s>ji1<s>fuk6
縫衣針	fung4<s>ji1<s>zam1
風爐	fung4<s>lu4
縫線	fung4<s>slin3
縫針	fung4<s>zam1
鳳竇	fung6<s>dau3
縫隙	fung6<s>kwik1
鳳尾菇	fung6<s>mi5<s>gu1
鳳凰樹	fung6<s>wong4<s>syu6
闊嘭嘭	fut3<s>baang4<s>baang4
闊口鋤	fut3<s>hau2<s>co4
闊落	fut3<s>lok6
闊佬	fut3<s>lu2
闊少	fut3<s>siu3
加重	gaa1<s>cung5
茄袋	gaa1<s>doi6
茄房	gaa1<s>fong4
家館	gaa1<s>gun2
家公	gaa1<s>gung1
傢俬	gaa1<s>gyu6
傢俱	gaa1<s>gyu6
嘉興	gaa1<s>hing1
嘉興市	gaa1<s>hing1<s>si5
伽倻琴	gaa1<s>je4<s>kam4
伽利略	gaa1<s>li6<s>loek6
加料	gaa1<s>liu2
家累	gaa1<s>lui6
伽馬	gaa1<s>maa5
伽馬射線	gaa1<s>maa5<s>se6<s>slin3
家婆	gaa1<s>po4
家婆新婦	gaa1<s>po4<s>slan1<s>pu5
家婆屋	gaa1<s>po4<s>uk1
加上	gaa1<s>soeng5
家僮	gaa1<s>tung4
家姐	gaa1<s>ze1
家長	gaa1<s>zoeng2
假扮	gaa2<s>baan6
賈寶玉	gaa2<s>bu2<s>juk6
假設	gaa2<s>cit3
假充	gaa2<s>cung1
假定	gaa2<s>ding6
假道學	gaa2<s>du6<s>hok6
假貨	gaa2<s>fo3
假若	gaa2<s>joek6
假如	gaa2<s>jyu4
假蔞	gaa2<s>lau1
假領	gaa2<s>leng5
假面具	gaa2<s>min6<s>gyu6
假名	gaa2<s>ming4
賈誼	gaa2<s>ni4
賈平凹	gaa2<s>ping4<s>waa1
假山	gaa2<s>saan1
假使	gaa2<s>sai2
假手於人	gaa2<s>sau2<s>jyu1<s>jan4
假釋	gaa2<s>slik1
假惺惺	gaa2<s>sling1<s>sling1
假想	gaa2<s>sloeng2
假想敵	gaa2<s>sloeng2<s>dik6
假說	gaa2<s>syut3
假托	gaa2<s>tok3
假託	gaa2<s>tok3
假借	gaa2<s>ze3
假象	gaa2<s>zoeng6
嫁人	gaa3<s>jan4
咖喱	gaa3<s>li1
嫁女	gaa3<s>nyu2
街坊	gaai1<s>fong1
楷木	gaai1<s>muk6
街上	gaai1<s>soeng6
街上高	gaai1<s>soeng6<s>gu1
街上人	gaai1<s>soeng6<s>jan4
楷樹	gaai1<s>syu6
階磚	gaai1<s>zyun1
解除	gaai2<s>cyu4
解凍	gaai2<s>dung3
解乏	gaai2<s>faat6
解放	gaai2<s>fong3
解放鞋	gaai2<s>fong3<s>haai4
解甲歸田	gaai2<s>gaap3<s>gwai1<s>tin4
解救	gaai2<s>gau3
解詁	gaai2<s>gu2
解鞋	gaai2<s>haai4
解孝	gaai2<s>haau3
解開	gaai2<s>hoi1
解衣推食	gaai2<s>ji1<s>tui1<s>sik6
解弦更張	gaai2<s>jin4<s>gang1<s>zoeng1
解決	gaai2<s>kyut3
解剖	gaai2<s>pau2
解衫	gaai2<s>saam1
解散	gaai2<s>slaan3
解釋	gaai2<s>slik1
解脫	gaai2<s>tyut3
解圍	gaai2<s>wai4
解板	gaai3<s>baan2
解差	gaai3<s>caai1
戒尺	gaai3<s>cek3
芥菜	gaai3<s>coi3
解犯	gaai3<s>faan6
解款	gaai3<s>fun2
解元	gaai3<s>jyun4
芥蘭	gaai3<s>laan4
芥蘭頭	gaai3<s>laan4<s>tau4
芥末	gaai3<s>mut6
介紹人	gaai3<s>siu6<s>jan4
解送	gaai3<s>slung3
戒指	gaai3<s>zi2
胳臂	gaak3<s>bi3
格調	gaak3<s>diu6
隔灰水	gaak3<s>fui1<s>sui2
隔籬鄰舍	gaak3<s>li4<s>lan4<s>se5
隔山肉	gaak3<s>saan1<s>juk6
監察	gaam1<s>caat3
監墩	gaam1<s>dan2
監禁	gaam1<s>gam3
監國	gaam1<s>gok3
監管	gaam1<s>gun2
監獄	gaam1<s>juk6
監牢	gaam1<s>lu4
監視	gaam1<s>si6
監護	gaam1<s>wu6
監製	gaam1<s>zai3
敢當	gaam2<s>dong1
敢教日月換新天	gaam2<s>gaau1<s>jat6<s>jyut6<s>wun6<s>slan1<s>tin1
感荷	gaam2<s>ho6
感荷不盡	gaam2<s>ho6<s>bat1<s>zan6
感應	gaam2<s>jing3
感暑	gaam2<s>syu2
敢作敢爲	gaam2<s>zok3<s>gaam2<s>wai4
奸狡	gaan1<s>gaau2
艱難	gaan1<s>naan4
奸猾	gaan1<s>wet6
簡便	gaan2<s>bin6
簡稱	gaan2<s>cing1
簡易	gaan2<s>ji6
間尺	gaan3<s>cek3
間諜	gaan3<s>dip6
間道	gaan3<s>du6
間格	gaan3<s>gaak3
間隔	gaan3<s>gaak3
間歇	gaan3<s>hit3
間隙	gaan3<s>kwik1
間距	gaan3<s>kyu5
間苗	gaan3<s>miu4
間替	gaan3<s>tai3
間斷	gaan3<s>tyun5
間或	gaan3<s>waak6
間接	gaan3<s>zip3
江䐁	gaang1<s>duk3
更鼓	gaang1<s>gu2
更漏	gaang1<s>lau6
耕田	gaang1<s>tin4
耕田佬	gaang1<s>tin4<s>lu2
耕種	gaang1<s>zung3
夾褲	gaap3<s>fu3
夾萬	gaap3<s>maan6
夾衫	gaap3<s>saam1
夾生	gaap3<s>saang1
夾生飯	gaap3<s>saang1<s>faan6
夾竹桃	gaap3<s>zuk1<s>tu4
夾硬	gaap8<s>ngaang2
曱甴車	gaat6<s>zaat6
交杯酒	gaau1<s>bui1<s>zau2
交錯	gaau1<s>co3
交代	gaau1<s>doi6
交口稱譽	gaau1<s>hau2<s>cing1<s>jyu6
交響樂	gaau1<s>hoeng2<s>ngok6
交易	gaau1<s>jik6
茭筍	gaau1<s>slan2
姣妻	gaau2<s>cai1
搞鬼	gaau2<s>gwai2
姣好	gaau2<s>hu2
姣豔	gaau2<s>jim6
姣麗	gaau2<s>lai6
姣美	gaau2<s>mi5
搞硡	gaau2<s>waang1
校讎	gaau3<s>cau4
校場	gaau3<s>coeng4
校訂	gaau3<s>ding6
校對	gaau3<s>dui3
校改	gaau3<s>goi2
校勘	gaau3<s>ham3
校閱	gaau3<s>jyut6
教務處	gaau3<s>mu6<s>cyu3
校驗	gaau3<s>nim6
校實	gaau3<s>sat6
校書	gaau3<s>syu1
校尉	gaau3<s>wai3
校正	gaau3<s>zing3
雞鴨行	gai1<s>aap3<s>hong4
雞巴髀	gai1<s>baa1<s>bi2
雞扁菜	gai1<s>ben2<s>coi3
給錢	gai1<s>cin4
雞錢	gai1<s>cin4
雞腸菜	gai1<s>coeng4<s>coi3
雞蔥	gai1<s>cung1
雞蛋	gai1<s>daan6
雞竇	gai1<s>dau3
鷄竇	gai1<s>dau3
雞販	gai1<s>faan3
雞頸	gai1<s>geng2
雞腳	gai1<s>goek3
雞咕咕	gai1<s>gu4<s>gu2
雞冠	gai1<s>gun1
雞冠花	gai1<s>gun1<s>faa1
雞公	gai1<s>gung1
雞公車	gai1<s>gung1<s>ce1
雞鬼	gai1<s>gwai2
雞下水	gai1<s>haa6<s>sui2
雞糠	gai1<s>hong1
雞項	gai1<s>hong6
雞紅	gai1<s>hung4
雞油	gai1<s>jau4
雞翼	gai1<s>jik6
雞翼尖	gai1<s>jik6<s>zim1
雞閹	gai1<s>jim1
雞肫	gai1<s>kan5
雞籠	gai1<s>lung4
雞尾椎	gai1<s>mi5<s>zui1
雞忘記	gai1<s>mong6<s>gi3
雞毛掃	gai1<s>mu4<s>slu3
雞乸	gai1<s>naa2
雞眼	gai1<s>ngen5
雞婆	gai1<s>po4
雞腎	gai1<s>san5
雞手鴨腳	gai1<s>sau2<s>aap3<s>goek3
雞舍	gai1<s>se3
雞屎	gai1<s>si2
雞屎堆	gai1<s>si2<s>dui1
雞屎窟	gai1<s>si2<s>fat1
雞屎果	gai1<s>si2<s>go2
雞啼	gai1<s>tai4
雞頭	gai1<s>tau4
雞同鴨講	gai1<s>tung4<s>aap3<s>gong2
雞雜	gai1<s>zaap6
雞仔	gai1<s>zai2
雞崽	gai1<s>zai2
雞仔餅	gai1<s>zai2<s>beng2
雞崽餅	gai1<s>zai2<s>beng2
給隻價	gai1<s>zek3<s>gaa3
雞罩	gai1<s>zeu3
雞蕉	gai1<s>ziu1
啓明星	gai2<s>ming4<s>sling1
計仔	gai2<s>zai2
計較	gai3<s>gaau3
計件	gai3<s>gin6
計謀	gai3<s>mau4
計算	gai3<s>slyun3
計數	gai3<s>su3
計劃	gai3<s>waak6
計畫	gai3<s>waak6
硌馬腳	gak6<s>maa5<s>goek3
金軛	gam1<s>aak3
金罌	gam1<s>aang1
金邊螞蟥	gam1<s>bin1<s>maa5<s>wong4
金邊碗	gam1<s>bin1<s>wun2
今次	gam1<s>ci3
金錢草	gam1<s>cin4<s>cu2
金錢䐁	gam1<s>cin4<s>duk1
金錢桔	gam1<s>cin4<s>gat1
金錢龜	gam1<s>cin4<s>gwai1
金錢癬	gam1<s>cin4<s>slyun2
金埕	gam1<s>cing4
甘草欖	gam1<s>cu2<s>laam2
金桔	gam1<s>gat1
金橘	gam1<s>gat1
今個月	gam1<s>go3<s>jyut6
今後	gam1<s>hau6
金器	gam1<s>hi3
金行	gam1<s>hong4
金魚	gam1<s>jyu4
今晚	gam1<s>maan5
金銀花	gam1<s>ngan4<s>faa1
金銀紙	gam1<s>ngan4<s>zi2
今年	gam1<s>nin4
今鋪	gam1<s>pu3
金屋藏嬌	gam1<s>uk1<s>cong4<s>giu1
金針菇	gam1<s>zam1<s>gu1
甘蔗	gam1<s>ze3
今隻月	gam1<s>zek3<s>jyut6
今朝	gam1<s>ziu1
金竹	gam1<s>zuk1
噉啱	gam2<s>ngaam1
禁不起	gam3<s>bat1<s>hi2
禁不住	gam3<s>bat1<s>zyu6
禁得起	gam3<s>dak1<s>hi2
禁得住	gam3<s>dak1<s>zyu6
撳釘	gam6<s>deng1
撳手印	gam6<s>sau2<s>jan3
根本	gan1<s>bun2
斤半	gan1<s>bun3
根氐	gan1<s>dai2
斤兩	gan1<s>loeng2
跟手	gan1<s>sau2
筋渣	gan1<s>zaa1
筋竹	gan1<s>zuk1
僅供參考	gan2<s>gung1<s>caam1<s>haau2
緊張	gan2<s>zoeng1
近視	gan6<s>si6
近視眼	gan6<s>si6<s>ngen5
羹匙	gang1<s>ci4
更迭	gang1<s>dit6
更動	gang1<s>dung6
更改	gang1<s>goi2
更衣	gang1<s>ji1
更新	gang1<s>slan1
更替	gang1<s>tai3
更換	gang1<s>wun6
更正	gang1<s>zing3
更張	gang1<s>zoeng1
耿板	gang2<s>baan2
哽咽	gang2<s>jit3
更且	gang3<s>ce2
更加	gang3<s>gaa1
更好	gang3<s>hu2
更甚	gang3<s>sam6
更是	gang3<s>si6
更上一層樓	gang3<s>soeng5<s>jat1<s>cang4<s>lau4
心急	gap1
急病	gap1<s>beng6
蛤蚧	gap1<s>gaai3
急救車	gap1<s>gau3<s>ce1
急溜	gap1<s>lau6
佮得來	gap3<s>dak1<s>lai4
佮得啱	gap3<s>dak1<s>ngaam1
佮檔	gap3<s>dong3
敆檔	gap3<s>dong3
佮份	gap3<s>fan6
敆份	gap3<s>fan6
佮伙	gap3<s>fo2
佮夥	gap3<s>fo2
敆伙	gap3<s>fo2
敆計	gap3<s>gai2
佮計	gap3<s>gai3
佮口	gap3<s>hau2
敆口	gap3<s>hau2
蛤蠣	gap3<s>lai6
蛤蜊	gap3<s>li4
佮埋	gap3<s>maai4
佮冇來	gap3<s>mu5<s>lai4
蛤乸	gap3<s>naa2
佮手	gap3<s>sau2
敆手	gap3<s>sau2
佮手佮腳	gap3<s>sau2<s>gap3<s>goek3
紇繨	gat1<s>daat6
紇絡	gat1<s>lok3
詰屈	gat1<s>wat1
詰屈聱牙	gat1<s>wat1<s>ngu4<s>ngaa4
㓤針	gat1<s>zam1
䞘腏路	gat6<s>cot6<s>lu6
疙瘩	gat6<s>daap3
圪𡑍	gat6<s>lu4
䞘路	gat6<s>lu6
鳩屎	gau1<s>si2
九十九	gau2<s>aa6<s>gau2
九八佬	gau2<s>bet3<s>lu2
狗鉢	gau2<s>but3
九長長	gau2<s>coeng4<s>coeng4
九長久	gau2<s>coeng4<s>gau2
狗竇	gau2<s>dau3
九馱	gau2<s>do6
九分之	gau2<s>fan6<s>zi1
九九	gau2<s>gau2
枸杞	gau2<s>gi2
枸杞菜	gau2<s>gi2<s>coi3
狗肝菜	gau2<s>gon1<s>coi3
狗公	gau2<s>gung1
狗圈	gau2<s>gyun3
九下	gau2<s>haa5
狗熊	gau2<s>jung4
九月九	gau2<s>jyut6<s>gau2
九兩	gau2<s>loeng2
九米	gau2<s>mai1
狗尾粟	gau2<s>mi2<s>sluk1
狗尾草	gau2<s>mi5<s>cu2
狗毛蟲	gau2<s>mu4<s>cung4
狗𪐀褦	gau2<s>naa1<s>nang3
狗乸	gau2<s>naa2
狗爬	gau2<s>paa4
九十	gau2<s>sap6
狗蝨	gau2<s>sat1
狗汪汪	gau2<s>wau1<s>wau1
韭黃	gau2<s>wong4
狗爪邊	gau2<s>zaau2<s>bin1
狗仔	gau2<s>zai2
狗崽	gau2<s>zai2
夠秤	gau3<s>cing3
夠嗆	gau3<s>coeng3
救火車	gau3<s>fo2<s>ce1
救苦救難	gau3<s>fu2<s>gau3<s>naan6
究竟	gau3<s>ging3
夠派	gau3<s>paai1
救護車	gau3<s>wu6<s>ce1
夠鐘	gau3<s>zung1
舊秤	gau6<s>cing3
舊底時	gau6<s>dai2<s>si4
舊飯	gau6<s>faan6
舊口	gau6<s>hau2
嚿溜	gau6<s>lau6
舊曆	gau6<s>lik6
舊曆年尾	gau6<s>lik6<s>nin4<s>mi5
舊曆十二月	gau6<s>lik6<s>sap6<s>ji6<s>jyut6
舊米	gau6<s>mai5
舊年	gau6<s>nin4
舊時	gau6<s>si4
兼波	gem1<s>bo1
揀菜	gen2<s>coi3
揀剩嘅	gen2<s>zing6<s>e3
頸巾	geng2<s>gan1
頸渴	geng2<s>hot3
頸圈	geng2<s>hyun1
頸鏈	geng2<s>lin2
頸脹	geng2<s>zoeng3
儆惜	geng6<s>slek3
喼帽	gep1<s>mu6
喼紐	gep1<s>nau2
喼紙	gep1<s>zi2
挾菜	gep3<s>coi3
交白卷	geu1<s>baak6<s>gyun2
膠擦	geu1<s>caat3
交帶	geu1<s>daai3
膠鉗	geu1<s>kem4
交稅	geu1<s>sui3
交頭卷	geu1<s>tau4<s>gyun2
交往	geu1<s>wong5
絞腸痧	geu2<s>coeng4<s>saa1
攪屎棍	geu2<s>si2<s>gwan3
教鞭	geu3<s>bin1
教室	geu3<s>sat1
鉸剪	geu3<s>zin2
基吧	gi1<s>baa1
幾不可辨	gi1<s>bat1<s>ho2<s>bin6
幾近	gi1<s>gan6
犄角	gi1<s>gok3
犄角旮旯	gi1<s>gok3<s>kaa3<s>laa3
犄角之勢	gi1<s>gok3<s>zi1<s>sai3
期頤	gi1<s>ji4
期月	gi1<s>jyut6
幾微	gi1<s>mi4
奇偶	gi1<s>ngau5
期年	gi1<s>nin4
奇數	gi1<s>su3
幾乎	gi1<s>wu4
機會	gi1<s>wui6
幾成	gi2<s>cing4
幾重	gi2<s>cung5
幾多	gi2<s>do1
幾多個	gi2<s>do1<s>go3
幾多個月	gi2<s>do1<s>go3<s>jyut6
幾多隻	gi2<s>do1<s>zek3
幾分利	gi2<s>fan1<s>li6
幾斤重	gi2<s>gan1<s>cung5
幾個	gi2<s>go3
幾個噉多	gi2<s>go3<s>gam2<s>do1
幾個月	gi2<s>go3<s>jyut6
幾好	gi2<s>hu2
幾耐	gi2<s>noi6
幾時	gi2<s>si4
幾聽	gi2<s>ting3
幾仔爺	gi2<s>zai2<s>je4
幾崽爺	gi2<s>zai2<s>je4
幾仔乸	gi2<s>zai2<s>naa2
幾崽乸	gi2<s>zai2<s>naa2
幾隻	gi2<s>zek3
幾隻噉多	gi2<s>zek3<s>gam2<s>do1
幾種	gi2<s>zung2
記分冊	gi3<s>fan1<s>caak3
記號	gi3<s>hu6
寄生	gi3<s>saang1
記識	gi3<s>zi3
記賬	gi3<s>zoeng3
記載	gi3<s>zoi3
記住	gi3<s>zyu6
亟待	gik1<s>doi6
亟亟	gik1<s>gik1
激氣	gik1<s>hi3
激將法	gik1<s>zoeng3<s>faat3
極爲重要	gik6<s>wai4<s>cung5<s>jiu3
兼差	gim1<s>caai1
兼之	gim1<s>zi1
劍麻	gim3<s>maa4
肩膀	gin1<s>bong2
肩負重荷	gin1<s>fu6<s>cung5<s>ho6
肩胛	gin1<s>gaap3
堅強	gin1<s>koeng4
堅料	gin1<s>liu2
堅炭	gin1<s>taan3
見縫插針	gin3<s>fung6<s>caap3<s>zam1
見功	gin3<s>gung1
京白菜	ging1<s>baak6<s>coi3
經幢	ging1<s>cong4
京貨鋪	ging1<s>fo3<s>pu3
驚風	ging1<s>fung1
經紀	ging1<s>gi2
矜貴	ging1<s>gwai3
京劇	ging1<s>kek6
驚蟄	ging1<s>zik6
經傳	ging1<s>zyun6
警察	ging2<s>caat3
景昏七	ging2<s>wan1<s>cat1
敬稱	ging3<s>cing1
敬業樂羣	ging3<s>nip6<s>ngaau6<s>kwan4
敬酒	ging3<s>zau2
勁料	ging6<s>liu2
結疤	git3<s>baa1
結冰	git3<s>bing1
結繭	git3<s>gen2
結恭	git3<s>gung1
結𥀬	git3<s>jim2
結米	git3<s>mai5
結業	git3<s>nip6
渴突突	git6<s>dat6<s>dat6
渴頭粥	git6<s>tau4<s>zuk1
渴粥	git6<s>zuk1
叫喳喳	giu3<s>ze4<s>ze4
轎車	giu6<s>ce1
鍋巴	go1<s>baa1
果刀	go2<s>du1
過年	go2<s>nin4
果脯	go2<s>pu2
果實累累	go2<s>sat6<s>lui4<s>lui4
果樹	go2<s>syu6
果核	go2<s>wat6
果蔗	go2<s>ze3
果子狸	go2<s>zi2<s>li4
過坳	go3<s>aau3
個把月	go3<s>baa2<s>jyut6
個把兩個	go3<s>baa2<s>loeng5<s>go3
個把兩個月	go3<s>baa2<s>loeng5<s>go3<s>jyut6
過磅	go3<s>bong6
過秤	go3<s>cing3
過錯	go3<s>co3
過渡	go3<s>du6
過道	go3<s>du6
過冬	go3<s>dung1
過分	go3<s>fan6
過火	go3<s>fo2
過嫁妝	go3<s>gaa3<s>zong1
個個月	go3<s>go3<s>jyut6
過關斬將	go3<s>gwaan1<s>zaam2<s>zoeng3
過骨	go3<s>gwat7
過氣	go3<s>hi3
過河	go3<s>ho4
過癮	go3<s>jan5
過油鑊	go3<s>jau4<s>wok6
過冷河	go3<s>laang5<s>ho4
過髝	go3<s>laau3
過禮	go3<s>lai5
過量	go3<s>loeng6
過龍	go3<s>lung4
過萬	go3<s>maan6
過年流流	go3<s>nin4<s>lau1<s>lau1
過衫	go3<s>saam1
過生日	go3<s>saang1<s>jat6
過世	go3<s>sai3
過身	go3<s>san1
過哂	go3<s>slaai3
過性	go3<s>sling3
過樹龍	go3<s>syu6<s>lung4
過頭	go3<s>tau4
過堂	go3<s>tong4
過雲雨	go3<s>wan4<s>jyu5
過漿	go3<s>zoeng1
過早	go3<s>zu2
過造	go3<s>zu6
過鐘	go3<s>zung1
哥哥	go4<s>go1
撅屎窟	goe1<s>si2<s>fat1
腳軛	goek3<s>aak3
腳坳	goek3<s>aau3
腳板	goek3<s>baan2
腳板心	goek3<s>baan2<s>slam1
腳板薯	goek3<s>baan2<s>syu4
腳布	goek3<s>bu3
腳底	goek3<s>dai2
腳底下	goek3<s>dai2<s>haa6
腳䐁	goek3<s>duk1
腳巾	goek3<s>gan1
腳頸	goek3<s>geng2
腳甲	goek3<s>gep3
腳公	goek3<s>gung1
腳梗	goek3<s>gwaang2
腳印	goek3<s>jan3
腳銬	goek3<s>kaau3
腳鏈	goek3<s>lin2
腳面	goek3<s>min2
腳乸頭	goek3<s>naa2<s>tau4
腳眼	goek3<s>ngen5
